Entity,Year,Government expenditure on primary education as % of GDP (%),Share of education in government expenditure (% of government expenditure),Total Government expenditure on education (% of GDP),Expected Years of Schooling,"Unemployment, total (% of total labor force)","Literacy rate, youth (ages 15-24), gender parity index (GPI).1","Literacy rate, adult total (% of people ages 15 and above).1"
Brazil,2002,1.05606997013092,9.63700008392334,3.75037002563477,14.7708,10.640000343,1.0216499567,88.616241455
Brazil,2005,1.52277994155884,11.2647199630737,4.47908020019531,13.77737,10.550000191,1.0216499567,88.616241455
Bulgaria,2002,0.68231999874115,9.65431976318359,3.38608002662659,12.82251,18.11000061,0.99796998501,98.203559875
Bulgaria,2003,0.766470015048981,11.1802501678467,3.99845004081726,13.2147,13.729999542,0.99796998501,98.203559875
Bulgaria,2004,0.453319996595383,6.70300006866455,2.31995010375977,13.40838,12.039999962,0.99796998501,98.203559875
Bulgaria,2005,0.83542001247406,12.0725202560425,4.10879993438721,13.50434,10.079999924,0.99796998501,98.203559875
Bulgaria,2006,0.771269977092743,12.010479927063,3.90346002578735,13.61937,8.9499998093,0.99796998501,98.203559875
Bulgaria,2007,0.72596001625061,11.113920211792,3.68264007568359,13.98136,6.8800001144,0.99796998501,98.203559875
Bulgaria,2008,0.795870006084442,12.6122598648071,4.2223801612854,14.07047,5.6100001335,0.99796998501,98.203559875
Bulgaria,2009,0.79900997877121,12.6567497253418,4.27429008483887,14.1695,6.8200001717,0.99796998501,98.203559875
Bulgaria,2010,0.76691997051239,11.1634197235107,3.88095998764038,14.4258,10.279999733,0.99796998501,98.203559875
Bulgaria,2012,0.656359970569611,10.6909198760986,3.49359011650085,14.52601,12.270000458,0.99796998501,98.203559875
Cameroon,2005,1.0951399803161599,21.3776092529297,2.88717007637024,8.4207,4.4000000954,0.84456974268,70.67993927
Chile,2000,1.59423995018005,16.4279098510742,3.77583003044128,13.15432,10.489999771,1.0038299561,95.716621399
Chile,2003,1.53262996673584,17.6372203826904,3.96345996856689,13.67539,9.7700004578,1.0038299561,95.716621399
Chile,2004,1.31781005859375,17.0210494995117,3.53838992118835,14.01913,10.159999847,1.0038299561,95.716621399
Chile,2005,1.20642995834351,16.199089050293,3.26283001899719,14.36555,9.3400001526,1.0038299561,95.716621399
Chile,2006,1.08529996871948,16.2312793731689,3.02152991294861,14.3213,9.0200004578,1.0038299561,95.716621399
Chile,2007,1.1428200006485,16.746410369873,3.21378993988037,14.72467,8.4300003052,1.0038299561,95.716621399
Chile,2010,1.32692003250122,17.8435592651367,4.16208982467651,15.10027,8.4099998474,1.0038299561,95.716621399
Colombia,2000,1.56448996067047,13.2963895797729,3.5112099647522,11.65309,20.520000458,1.0087200403,92.803779602
Colombia,2001,1.65303003787994,13.5705299377441,3.70867991447449,11.653009,15.039999962,1.0087200403,92.803779602
Colombia,2002,1.70220994949341,15.3020601272583,4.26812982559204,11.65293,14.479999542,1.0087200403,92.803779602
Colombia,2012,1.53327000141144,15.0223398208618,4.37038993835449,13.75542,9.9600000381,1.0087200403,92.803779602
Colombia,2013,1.68825995922089,16.2627296447754,4.87855005264282,14.28951,9.25,1.0087200403,92.803779602
Costa Rica,2001,2.01218008995056,19.1528205871582,4.83202981948853,11.666,5.9200000763,1.0085799694,94.868186951
Costa Rica,2002,2.14987993240356,19.24049949646,5.15044021606445,11.8176565,6.3299999237,1.0085799694,94.868186951
Costa Rica,2004,2.22498989105225,20.4308891296387,4.89062976837158,12.12097,6.3899998665,1.0085799694,94.868186951
Costa Rica,2006,1.83480000495911,20.6433391571045,4.61613988876343,12.746452,5.7399997711,1.0085799694,94.868186951
Costa Rica,2007,1.84492003917694,21.0218906402588,4.6345100402832,13.059194,4.4899997711,1.0085799694,94.868186951
Costa Rica,2008,1.99443995952606,20.8109607696533,4.88697004318237,13.371936,4.7800002098,1.0085799694,94.868186951
Costa Rica,2009,2.59404993057251,23.4082202911377,6.01030015945435,13.684677,7.7100000381,1.0085799694,94.868186951
Costa Rica,2010,2.85442996025085,22.8808898925781,6.56574010848999,13.997418,7.1700000763,1.0085799694,94.868186951
Costa Rica,2012,2.68357992172241,23.5015602111816,6.58239984512329,14.50246,9.1099996567,1.0085799694,94.868186951
Costa Rica,2013,2.53254008293152,22.8309097290039,6.68739986419678,14.75022,8.220000267,1.0085799694,94.868186951
Costa Rica,2014,2.5458300113678,23.1095294952393,6.67952013015747,15.11124,8.5,1.0085799694,94.868186951
Cyprus,2000,1.38338005542755,14.2683095932007,4.98954010009766,12.4038,4.7699999809,1.00079,96.803627014
Cyprus,2002,1.66522002220154,14.914210319519,5.58166980743408,12.95118,3.3399999142,1.00079,96.803627014
Cyprus,2003,1.87732005119324,16.515230178833,6.6702299118042,13.3705,4.1500000954,1.00079,96.803627014
Cyprus,2004,1.69804000854492,15.8329801559448,6.11772012710571,13.49675,4.7699999809,1.00079,96.803627014
Cyprus,2005,1.73188996315002,15.8393602371216,6.28667020797729,13.44655,5.4800000191,1.00079,96.803627014
Cyprus,2006,1.7773300409317,16.1796207427979,6.3302698135376,13.53202,4.5900001526,1.00079,96.803627014
Cyprus,2007,1.78675997257233,16.72047996521,6.28082990646362,13.71589,3.9500000477,1.00079,96.803627014
Cyprus,2008,1.89158999919891,17.5907497406006,6.72276020050049,14.06837,3.7599999905,1.00079,96.803627014
Cyprus,2009,2.02326989173889,17.2012500762939,7.2054500579834,14.57304,5.5900001526,1.00079,96.803627014
Cyprus,2010,2.06573009490967,15.6494903564453,6.542799949646,13.84634,6.3600001335,1.00079,96.803627014
Czechia,2000,0.665950000286102,8.9122896194458,3.64034008979797,13.87838,8.7600002289,,
Czechia,2001,0.630010008811951,8.67646026611328,3.73283004760742,14.32462,8.1300001144,,
Czechia,2002,0.640649974346161,8.86480045318604,3.95878005027771,14.57212,7.2800002098,,
Czechia,2003,0.652040004730225,8.38265991210938,4.11728000640869,14.83359,7.7800002098,,
Czechia,2004,0.610509991645813,9.43307018280029,3.99238991737366,14.60776,8.3000001907,,
Czechia,2005,0.566150009632111,9.20296955108643,3.86591005325317,14.84366,7.9299998283,,
Czechia,2006,0.572960019111633,10.1969404220581,4.1955099105835,15.00054,7.1399998665,,
Czechia,2007,0.538150012493134,9.57695007324219,3.84717988967896,15.29293,5.3200001717,,
Czechia,2008,0.551900029182434,9.21463966369629,3.7271900177002,15.461,4.3899998665,,
Czechia,2009,0.665170013904572,9.43733024597168,4.1460599899292,15.83554,6.6599998474,,
Czechia,2010,0.658959984779358,9.34049034118652,4.03350019454956,16.01416,7.2800002098,,
Czechia,2011,0.68927001953125,9.92718029022217,4.24209022521973,16.07697,6.7100000381,,
Czechia,2012,0.716419994831085,9.55685043334961,4.22070980072021,16.07591,6.9800000191,,
Denmark,2000,1.69936001300812,15.3441495895386,8.08434009552002,16.23391,4.4800000191,,
Denmark,2001,1.83255004882813,15.5485401153564,8.21545028686523,16.58344,4.1599998474,,
Denmark,2002,1.85198998451233,15.4338798522949,8.2130298614502,16.31981,4.2699999809,,
Denmark,2003,1.91132998466492,15.1417503356934,8.12193012237549,16.474815,5.4000000954,,
Denmark,2004,1.88138997554779,15.4868602752686,8.2076301574707,16.62982,5.1999998093,,
Denmark,2005,1.88004994392395,15.7793397903442,8.08557033538818,16.87528,4.8299999237,,
Denmark,2006,1.83074998855591,15.5126399993896,7.72990989685059,16.72458,3.9000000954,,
Denmark,2007,1.81330001354218,15.3566999435425,7.61560010910034,16.81783,3.7999999523,,
Denmark,2008,1.8045699596405,14.8302602767944,7.47604990005493,16.75206,3.6800000668,,
Denmark,2009,2.06738996505737,14.9441699981689,8.44888019561768,16.79486,6.4099998474,,
Denmark,2010,2.04102993011475,15.1033401489258,8.55955028533936,16.94296,7.75,,
Denmark,2011,1.84619998931885,15.0362596511841,8.48486042022705,18.41773,7.7699999809,,
Dominican Republic,2001,1.12313997745514,12.5072898864746,1.96782994270325,11.246781,7.2600002289,1.0253499746,86.99646759
Ecuador,2000,0.440670013427734,4.95730018615723,1.15093004703522,13.10713,4.8000001907,1.0039000511,91.854042053
Bermuda,2010,0.815599977970123,12.9342403411865,2.30668997764587,,6.4899997711,,
Bermuda,2014,0.533720016479492,7.79644012451172,1.5368800163269,,8.9399995804,,
Estonia,2001,1.5406299829483,14.9474802017212,5.22460985183716,15.42989,13.130000114,1.0002000332,99.885787964
Estonia,2002,1.53217995166779,15.1452302932739,5.43131017684937,15.63121,10.029999733,1.0002000332,99.885787964
Estonia,2003,1.39262998104095,15.0490303039551,5.27117013931274,15.71774,11.289999962,1.0002000332,99.885787964
Estonia,2004,1.26514005661011,14.306079864502,4.87734985351563,15.87447,10.25,1.0002000332,99.885787964
Estonia,2005,1.22554004192352,14.2576999664307,4.81315994262695,16.12036,8.029999733,1.0002000332,99.885787964
Estonia,2007,1.08831000328064,13.6823101043701,4.62063980102539,16.11493,4.5900001526,1.0002000332,99.885787964
Estonia,2008,1.40780997276306,13.8797101974487,5.47737979888916,16.10435,5.4499998093,1.0002000332,99.885787964
Estonia,2009,1.49520003795624,12.9300899505615,5.92651987075806,16.18022,13.550000191,1.0002000332,99.885787964
