,NGH_Name,Assault (Non-domestic),Break & Enter,Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic),Latitude,Longitude,Cluster_KMeans
246,UNIVERSITY OF CALGARY,10,14,0,50,18,5,51.075021044199055,-114.129913901737,1
247,UPPER MOUNT ROYAL,4,31,0,34,12,3,51.029967076464935,-114.08502788624101,8
248,VALLEY RIDGE,2,16,1,26,11,0,51.09537800378409,-114.251163893403,1
249,VALLEYFIELD,2,14,1,11,11,0,51.00908478648209,-114.001885391532,6
250,VARSITY,21,51,6,90,32,8,51.09600131323407,-114.162595259525,8
251,VISTA HEIGHTS,5,24,3,39,19,4,51.071932611219914,-114.017726360644,7
252,WALDEN,0,14,0,26,12,3,50.870406291791035,-114.03258961985,6
253,WEST HILLHURST,3,88,1,74,33,2,51.055058817012025,-114.115155739639,5
254,WEST SPRINGS,0,18,1,45,9,2,51.05971960915105,-114.206168211978,1
255,WESTGATE,0,17,0,23,6,0,51.044154718215985,-114.158443443507,1
256,WESTWINDS,11,13,5,35,29,12,51.10338458541903,-113.97004477872599,7
257,WHITEHORN,31,42,12,73,77,18,51.08877341271892,-113.970068163647,2
258,WILDWOOD,3,15,4,33,8,2,51.058257995027915,-114.158541417804,1
259,WILLOW PARK,18,44,5,78,26,5,50.95661926654897,-114.056201945188,0
260,WINDSOR PARK,3,40,0,49,16,2,51.0050457588949,-114.08355230578,8
261,WINSTON HEIGHTS/MOUNTVIEW,12,41,1,53,30,6,51.07532495780689,-114.04185548061001,8
262,WOODBINE,5,28,3,51,17,1,50.939610852215935,-114.129628653745,0
263,WOODLANDS,21,28,2,29,13,8,50.941119997755,-114.10634364849598,0
