,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
99,GROVENOR,10,38,0,1,0,36,22,1,53.545399,-113.57191200000001,90.0,119.0,38.0,32.0,48.0,48.0,115.0,674.0,81.0,225.0,24.0,666.0,69.0,127.0,140.0,70.0,57.0,46.0,28.0,25.0,376.0
100,HADDOW,5,11,0,1,0,10,2,0,53.45475,-113.59648899999999,186.0,349.0,158.0,141.0,166.0,164.0,188.0,1282.0,106.0,476.0,17.0,959.0,49.0,97.0,171.0,129.0,93.0,146.0,72.0,110.0,681.0
101,HAIRSINE,8,2,0,4,5,15,11,0,53.603838,-113.390923,117.0,151.0,62.0,86.0,49.0,61.0,146.0,815.0,137.0,194.0,34.0,582.0,109.0,197.0,141.0,57.0,30.0,22.0,5.0,1.0,406.0
102,HAZELDEAN,13,22,0,0,3,42,19,1,53.504206,-113.477889,114.0,194.0,82.0,52.0,100.0,60.0,211.0,1115.0,144.0,304.0,27.0,870.0,83.0,202.0,203.0,96.0,81.0,60.0,12.0,7.0,604.0
103,HENDERSON ESTATES,3,0,0,0,1,5,1,1,53.467635,-113.597447,46.0,119.0,69.0,75.0,126.0,65.0,117.0,558.0,53.0,304.0,10.0,263.0,14.0,34.0,61.0,48.0,50.0,50.0,34.0,97.0,226.0
104,HIGH PARK,25,24,0,6,5,30,9,1,53.554986,-113.584199,17.0,18.0,22.0,17.0,14.0,21.0,38.0,223.0,41.0,155.0,14.0,758.0,42.0,61.0,50.0,34.0,13.0,7.0,3.0,3.0,450.0
105,HIGHLANDS,25,50,0,9,1,48,25,2,53.565999,-113.430171,94.0,139.0,38.0,53.0,70.0,39.0,147.0,915.0,95.0,420.0,25.0,510.0,72.0,137.0,170.0,108.0,74.0,70.0,36.0,35.0,500.0
106,HILLVIEW,6,6,0,0,2,17,12,0,53.46974,-113.427064,123.0,188.0,82.0,70.0,86.0,84.0,159.0,888.0,144.0,339.0,53.0,1116.0,106.0,199.0,211.0,98.0,49.0,42.0,22.0,6.0,616.0
107,HODGSON,2,8,0,0,1,13,4,0,53.457673,-113.55980699999999,96.0,206.0,82.0,94.0,157.0,92.0,130.0,890.0,72.0,315.0,7.0,573.0,48.0,92.0,155.0,91.0,43.0,86.0,45.0,87.0,295.0
108,HOLLICK-KENYON,12,13,0,1,1,35,11,1,53.622243999999995,-113.42228799999998,390.0,502.0,197.0,178.0,195.0,193.0,319.0,2025.0,191.0,350.0,39.0,1557.0,81.0,255.0,384.0,233.0,125.0,145.0,54.0,32.0,765.0
109,HOLYROOD,10,24,0,1,2,30,20,1,53.531361,-113.45018999999999,117.0,151.0,62.0,64.0,77.0,53.0,153.0,787.0,76.0,362.0,29.0,1488.0,63.0,140.0,161.0,71.0,83.0,62.0,27.0,19.0,906.0
110,HOMESTEADER,27,26,0,5,3,49,27,2,53.58472,-113.406459,208.0,311.0,126.0,88.0,70.0,104.0,174.0,985.0,185.0,299.0,49.0,946.0,126.0,242.0,222.0,81.0,45.0,24.0,14.0,6.0,513.0
111,HUDSON,4,12,0,0,0,10,6,2,53.604587,-113.553396,116.0,145.0,87.0,63.0,108.0,68.0,91.0,770.0,61.0,122.0,4.0,750.0,21.0,98.0,163.0,63.0,32.0,31.0,4.0,15.0,373.0
112,IDYLWYLDE,6,17,0,1,1,26,23,0,53.52163,-113.449114,57.0,58.0,18.0,26.0,45.0,24.0,106.0,594.0,70.0,373.0,38.0,413.0,151.0,147.0,129.0,54.0,21.0,19.0,14.0,8.0,391.0
113,INGLEWOOD,80,76,3,23,16,101,47,3,53.564606,-113.540852,190.0,237.0,70.0,47.0,129.0,58.0,366.0,2108.0,329.0,642.0,157.0,1589.0,521.0,536.0,305.0,178.0,188.0,180.0,97.0,98.0,1362.0
114,JACKSON HEIGHTS,13,6,0,2,0,10,7,1,53.48166,-113.410848,84.0,195.0,106.0,76.0,109.0,70.0,188.0,867.0,107.0,374.0,24.0,1777.0,41.0,120.0,158.0,78.0,56.0,41.0,9.0,13.0,717.0
115,JAMIESON PLACE,0,6,0,1,2,16,4,1,53.488707,-113.64902,73.0,139.0,70.0,57.0,98.0,60.0,166.0,855.0,67.0,301.0,13.0,1470.0,26.0,71.0,103.0,78.0,64.0,65.0,17.0,13.0,882.0
116,JASPER PARK,13,16,0,9,2,37,9,0,53.52307,-113.584105,61.0,67.0,25.0,29.0,30.0,37.0,90.0,512.0,53.0,189.0,40.0,622.0,104.0,127.0,118.0,27.0,25.0,12.0,6.0,6.0,412.0
117,KAMEYOSEK,7,8,0,5,2,15,7,0,53.461919,-113.442068,108.0,174.0,87.0,55.0,43.0,55.0,140.0,593.0,146.0,397.0,25.0,580.0,237.0,233.0,123.0,39.0,16.0,17.0,3.0,3.0,435.0
118,KEHEEWIN,14,26,0,8,2,23,6,3,53.450243,-113.504513,44.0,81.0,24.0,37.0,56.0,38.0,92.0,500.0,46.0,441.0,18.0,1125.0,68.0,144.0,138.0,70.0,33.0,38.0,14.0,15.0,695.0
119,KENILWORTH,12,14,0,0,2,46,19,0,53.521633,-113.43104199999999,73.0,92.0,64.0,57.0,54.0,38.0,121.0,794.0,119.0,483.0,27.0,631.0,84.0,226.0,226.0,64.0,43.0,41.0,15.0,9.0,345.0
120,KENSINGTON,20,27,0,2,1,62,16,2,53.595863,-113.528924,85.0,122.0,47.0,42.0,35.0,74.0,106.0,660.0,112.0,772.0,32.0,1762.0,119.0,162.0,148.0,51.0,28.0,19.0,7.0,3.0,1102.0
121,KERNOHAN,11,11,0,0,1,20,12,1,53.5894,-113.380164,131.0,150.0,67.0,65.0,44.0,87.0,95.0,908.0,123.0,453.0,37.0,832.0,57.0,152.0,173.0,78.0,44.0,38.0,9.0,8.0,614.0
122,KILDARE,25,17,0,7,4,31,30,3,53.603293,-113.45515,89.0,115.0,71.0,44.0,49.0,52.0,98.0,602.0,118.0,506.0,28.0,930.0,138.0,248.0,161.0,40.0,21.0,15.0,3.0,3.0,537.0
123,KILKENNY,40,27,0,6,7,55,36,1,53.610378,-113.45511900000001,145.0,280.0,130.0,128.0,122.0,119.0,223.0,1245.0,196.0,573.0,79.0,2367.0,208.0,321.0,250.0,110.0,72.0,40.0,20.0,7.0,1007.0
